"data","manancial","volume armazenado","pluviometria do dia","pluviometria acumulada no mês","média histórica do mês"
"2003-1-21","sistemaRioGrande","95,3 %","0,0 mm","95,4 mm","234,4 mm"
"2003-1-21","sistemaRioClaro","64,5 %","0,0 mm","104,3 mm","287,8 mm"
"2003-1-22","sistemaCantareira","48,1 %","49,6 mm","301,9 mm","253,0 mm"
"2003-1-22","sistemaAltoTiete","40,9 %","40,8 mm","162,6 mm","245,4 mm"
"2003-1-22","sistemaGuarapiranga","39,0 %","24,6 mm","121,8 mm","225,2 mm"
"2003-1-22","sistemaCotia","37,9 %","55,9 mm","183,6 mm","224,8 mm"
"2003-1-22","sistemaRioGrande","97,5 %","71,5 mm","166,9 mm","234,4 mm"
"2003-1-22","sistemaRioClaro","65,5 %","27,8 mm","132,1 mm","287,8 mm"
"2003-1-23","sistemaCantareira","49,2 %","18,2 mm","320,0 mm","253,0 mm"
"2003-1-23","sistemaAltoTiete","41,2 %","2,2 mm","164,8 mm","245,4 mm"
"2003-1-23","sistemaGuarapiranga","40,0 %","18,4 mm","140,2 mm","225,2 mm"
"2003-1-23","sistemaCotia","39,4 %","24,1 mm","207,7 mm","224,8 mm"
"2003-1-23","sistemaRioGrande","98,1 %","6,5 mm","173,4 mm","234,4 mm"
"2003-1-23","sistemaRioClaro","65,6 %","3,2 mm","135,3 mm","287,8 mm"
"2003-1-24","sistemaCantareira","50,1 %","22,2 mm","342,3 mm","253,0 mm"
"2003-1-24","sistemaAltoTiete","41,4 %","4,3 mm","169,1 mm","245,4 mm"
"2003-1-24","sistemaGuarapiranga","40,7 %","13,4 mm","153,6 mm","225,2 mm"
"2003-1-24","sistemaCotia","40,9 %","17,6 mm","225,3 mm","224,8 mm"
"2003-1-24","sistemaRioGrande","98,5 %","3,6 mm","177,0 mm","234,4 mm"
"2003-1-24","sistemaRioClaro","65,7 %","3,6 mm","138,9 mm","287,8 mm"
"2003-1-25","sistemaCantareira","51,1 %","1,1 mm","343,3 mm","253,0 mm"
"2003-1-25","sistemaAltoTiete","41,6 %","10,3 mm","179,4 mm","245,4 mm"
"2003-1-25","sistemaGuarapiranga","41,4 %","6,2 mm","159,8 mm","225,2 mm"
"2003-1-25","sistemaCotia","42,3 %","5,8 mm","231,1 mm","224,8 mm"
"2003-1-25","sistemaRioGrande","98,3 %","1,9 mm","178,9 mm","234,4 mm"
"2003-1-25","sistemaRioClaro","68,6 %","40,8 mm","179,7 mm","287,8 mm"
"2003-1-26","sistemaCantareira","52,1 %","4,1 mm","347,5 mm","253,0 mm"
"2003-1-26","sistemaAltoTiete","41,7 %","2,1 mm","181,5 mm","245,4 mm"
"2003-1-26","sistemaGuarapiranga","41,8 %","1,4 mm","161,2 mm","225,2 mm"
"2003-1-26","sistemaCotia","43,1 %","0,9 mm","232,0 mm","224,8 mm"
"2003-1-26","sistemaRioGrande","98,5 %","1,3 mm","180,2 mm","234,4 mm"
"2003-1-26","sistemaRioClaro","68,8 %","6,2 mm","185,9 mm","287,8 mm"
"2003-1-27","sistemaCantareira","53,3 %","18,5 mm","366,0 mm","253,0 mm"
"2003-1-27","sistemaAltoTiete","42,2 %","7,1 mm","188,6 mm","245,4 mm"
"2003-1-27","sistemaGuarapiranga","42,2 %","1,6 mm","162,8 mm","225,2 mm"
"2003-1-27","sistemaCotia","43,6 %","6,3 mm","238,3 mm","224,8 mm"
"2003-1-27","sistemaRioGrande","98,5 %","1,7 mm","181,9 mm","234,4 mm"
"2003-1-27","sistemaRioClaro","69,3 %","8,9 mm","194,8 mm","287,8 mm"
"2003-1-28","sistemaCantareira","54,4 %","16,9 mm","382,9 mm","253,0 mm"
"2003-1-28","sistemaAltoTiete","42,4 %","10,7 mm","199,3 mm","245,4 mm"
"2003-1-28","sistemaGuarapiranga","43,6 %","59,0 mm","221,8 mm","225,2 mm"
"2003-1-28","sistemaCotia","44,8 %","29,9 mm","268,2 mm","224,8 mm"
"2003-1-28","sistemaRioGrande","100,0 %","37,6 mm","219,5 mm","234,4 mm"
"2003-1-28","sistemaRioClaro","69,5 %","5,2 mm","200,0 mm","287,8 mm"
"2003-1-29","sistemaCantareira","56,0 %","18,2 mm","401,1 mm","253,0 mm"
"2003-1-29","sistemaAltoTiete","42,9 %","14,1 mm","213,3 mm","245,4 mm"
"2003-1-29","sistemaGuarapiranga","44,7 %","20,4 mm","242,2 mm","225,2 mm"
"2003-1-29","sistemaCotia","46,9 %","7,7 mm","275,9 mm","224,8 mm"
"2003-1-29","sistemaRioGrande","102,2 %","41,7 mm","261,2 mm","234,4 mm"
"2003-1-29","sistemaRioClaro","70,2 %","17,1 mm","217,1 mm","287,8 mm"
"2003-1-30","sistemaCantareira","57,5 %","4,3 mm","405,3 mm","253,0 mm"
"2003-1-30","sistemaAltoTiete","43,1 %","3,6 mm","216,9 mm","245,4 mm"
"2003-1-30","sistemaGuarapiranga","45,9 %","0,0 mm","242,2 mm","225,2 mm"
"2003-1-30","sistemaCotia","47,9 %","0,4 mm","276,3 mm","224,8 mm"
"2003-1-30","sistemaRioGrande","102,0 %","0,3 mm","261,5 mm","234,4 mm"
"2003-1-30","sistemaRioClaro","70,8 %","1,8 mm","218,9 mm","287,8 mm"
"2003-1-31","sistemaCantareira","59,1 %","5,1 mm","410,4 mm","253,0 mm"
"2003-1-31","sistemaAltoTiete","43,3 %","6,6 mm","223,5 mm","245,4 mm"
"2003-1-31","sistemaGuarapiranga","47,4 %","26,0 mm","268,2 mm","225,2 mm"
"2003-1-31","sistemaCotia","49,4 %","19,7 mm","296,0 mm","224,8 mm"
"2003-1-31","sistemaRioGrande","101,2 %","15,3 mm","276,8 mm","234,4 mm"
"2003-1-31","sistemaRioClaro","71,1 %","5,7 mm","224,6 mm","287,8 mm"
"2003-2-1","sistemaCantareira","60,4 %","10,8 mm","10,8 mm","214,2 mm"
"2003-2-1","sistemaAltoTiete","43,8 %","1,6 mm","1,6 mm","210,0 mm"
"2003-2-1","sistemaGuarapiranga","48,2 %","0,0 mm","0,0 mm","196,8 mm"
"2003-2-1","sistemaCotia","50,5 %","0,4 mm","0,4 mm","192,0 mm"
"2003-2-1","sistemaRioGrande","100,0 %","3,0 mm","3,0 mm","210,0 mm"
"2003-2-1","sistemaRioClaro","71,3 %","3,1 mm","3,1 mm","252,3 mm"
"2003-2-2","sistemaCantareira","61,1 %","0,3 mm","11,0 mm","214,2 mm"
"2003-2-2","sistemaAltoTiete","43,8 %","0,1 mm","1,7 mm","210,0 mm"
"2003-2-2","sistemaGuarapiranga","48,7 %","2,2 mm","2,2 mm","196,8 mm"
"2003-2-2","sistemaCotia","51,6 %","19,4 mm","19,8 mm","192,0 mm"
"2003-2-2","sistemaRioGrande","99,0 %","0,0 mm","3,0 mm","210,0 mm"
"2003-2-2","sistemaRioClaro","71,4 %","0,0 mm","3,1 mm","252,3 mm"
"2003-2-3","sistemaCantareira","61,5 %","0,0 mm","11,0 mm","214,2 mm"
"2003-2-3","sistemaAltoTiete","43,9 %","0,1 mm","1,7 mm","210,0 mm"
"2003-2-3","sistemaGuarapiranga","49,0 %","0,0 mm","2,2 mm","196,8 mm"
"2003-2-3","sistemaCotia","51,9 %","0,0 mm","19,8 mm","192,0 mm"
"2003-2-3","sistemaRioGrande","98,1 %","0,0 mm","3,0 mm","210,0 mm"
"2003-2-3","sistemaRioClaro","71,4 %","0,0 mm","3,1 mm","252,3 mm"
"2003-2-4","sistemaCantareira","61,9 %","0,0 mm","11,0 mm","214,2 mm"
"2003-2-4","sistemaAltoTiete","44,0 %","5,7 mm","7,4 mm","210,0 mm"
"2003-2-4","sistemaGuarapiranga","48,7 %","0,0 mm","2,2 mm","196,8 mm"
"2003-2-4","sistemaCotia","52,2 %","4,3 mm","24,1 mm","192,0 mm"
"2003-2-4","sistemaRioGrande","98,0 %","0,0 mm","3,0 mm","210,0 mm"
"2003-2-4","sistemaRioClaro","71,5 %","5,5 mm","8,6 mm","252,3 mm"
"2003-2-5","sistemaCantareira","62,1 %","0,5 mm","11,5 mm","214,2 mm"
"2003-2-5","sistemaAltoTiete","44,2 %","0,0 mm","7,4 mm","210,0 mm"
"2003-2-5","sistemaGuarapiranga","48,9 %","0,0 mm","2,2 mm","196,8 mm"
"2003-2-5","sistemaCotia","52,3 %","0,0 mm","24,1 mm","192,0 mm"
"2003-2-5","sistemaRioGrande","95,7 %","0,0 mm","3,0 mm","210,0 mm"
"2003-2-5","sistemaRioClaro","71,6 %","0,4 mm","9,0 mm","252,3 mm"
"2003-2-6","sistemaCantareira","62,6 %","0,3 mm","11,9 mm","214,2 mm"
"2003-2-6","sistemaAltoTiete","44,7 %","32,6 mm","40,0 mm","210,0 mm"
"2003-2-6","sistemaGuarapiranga","48,7 %","1,4 mm","3,6 mm","196,8 mm"
"2003-2-6","sistemaCotia","52,7 %","5,1 mm","29,2 mm","192,0 mm"
"2003-2-6","sistemaRioGrande","94,8 %","0,0 mm","3,0 mm","210,0 mm"
"2003-2-6","sistemaRioClaro","71,6 %","0,1 mm","9,1 mm","252,3 mm"
"2003-2-7","sistemaCantareira","62,9 %","6,5 mm","18,4 mm","214,2 mm"
"2003-2-7","sistemaAltoTiete","44,9 %","6,8 mm","46,8 mm","210,0 mm"
"2003-2-7","sistemaGuarapiranga","48,6 %","0,0 mm","3,6 mm","196,8 mm"
"2003-2-7","sistemaCotia","53,0 %","10,2 mm","39,4 mm","192,0 mm"
"2003-2-7","sistemaRioGrande","94,0 %","0,0 mm","3,0 mm","210,0 mm"
"2003-2-7","sistemaRioClaro","71,5 %","3,6 mm","12,7 mm","252,3 mm"
"2003-2-8","sistemaCantareira","63,0 %","0,3 mm","18,7 mm","214,2 mm"
"2003-2-8","sistemaAltoTiete","45,1 %","11,5 mm","58,3 mm","210,0 mm"
"2003-2-8","sistemaGuarapiranga","48,6 %","6,2 mm","9,8 mm","196,8 mm"
"2003-2-8","sistemaCotia","53,1 %","4,1 mm","43,5 mm","192,0 mm"
"2003-2-8","sistemaRioGrande","93,0 %","2,2 mm","5,2 mm","210,0 mm"
"2003-2-8","sistemaRioClaro","71,4 %","4,3 mm","17,0 mm","252,3 mm"
"2003-2-9","sistemaCantareira","63,2 %","0,0 mm","18,7 mm","214,2 mm"
"2003-2-9","sistemaAltoTiete","45,2 %","0,0 mm","58,3 mm","210,0 mm"
"2003-2-9","sistemaGuarapiranga","49,0 %","26,6 mm","36,4 mm","196,8 mm"
"2003-2-9","sistemaCotia","53,1 %","0,9 mm","44,4 mm","192,0 mm"
"2003-2-9","sistemaRioGrande","92,1 %","0,0 mm","5,2 mm","210,0 mm"
"2003-2-9","sistemaRioClaro","71,3 %","0,1 mm","17,1 mm","252,3 mm"
"2003-2-10","sistemaCantareira","63,3 %","0,0 mm","18,7 mm","214,2 mm"
"2003-2-10","sistemaAltoTiete","45,2 %","0,1 mm","58,4 mm","210,0 mm"
"2003-2-10","sistemaGuarapiranga","48,9 %","0,0 mm","36,4 mm","196,8 mm"
"2003-2-10","sistemaCotia","53,0 %","0,0 mm","44,4 mm","192,0 mm"
